VIN,Shipping Status,Base MSRP,Pre-Sold,Hold Status,Year,Drivetrain,Model,Color,Dealer,Dealer Website,Dealer State,Dealer Price,Markup,Image
2T3B6RFVXPW18E906,Factory to port,35625,False,,2023,hybrid,XLE Premium,Magnetic Gray Metallic,Gateway Toyota,https://www.gatewaytoyota.com,NJ,39615.0,3990.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/81adc61e800f04245f48a996bd75a71a3fdb4548844d48c6c6ff64ee039f46ce_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_01G3_002_DS_Front_3_4_6K.png
2T3B6RFVXPW18J628,Factory to port,35625,False,,2023,hybrid,XLE Premium,Lunar Rock,Sunrise Toyota,https://www.sunrisetoyota.com,NY,35625.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/e8d412c527e8811d2c6a2d790146a1754fc54057dc1205f1ebce68ffdd88866d_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_06X3_002_DS_Front_3_4_6K.png
2T3B6RFVXPW19D797,Factory to port,35625,True,DealerHold,2023,hybrid,XLE Premium,Lunar Rock,Sunrise Toyota,https://www.sunrisetoyota.com,NY,35625.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/e8d412c527e8811d2c6a2d790146a1754fc54057dc1205f1ebce68ffdd88866d_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_06X3_002_DS_Front_3_4_6K.png
2T3B6RFVXPW20G788,Factory to port,35625,False,,2023,hybrid,XLE Premium,Lunar Rock,Fordham Toyota,https://www.fordhamtoyota.com,NY,35625.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/e8d412c527e8811d2c6a2d790146a1754fc54057dc1205f1ebce68ffdd88866d_MY22_Rav4_US_XLE_Premium_Hybrid_AWD_06X3_002_DS_Front_3_4_6K.png
2T3E6RFV0PW037941,Port to dealer,36385,True,DealerHold,2023,hybrid,XSE,Wind Chill Pearl/Midnight Black Metallic roof,Westbrook Toyota,https://www.westbrooktoyota.com,CT,36385.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4/exteriorcolor/carjellyimage/7aadc299eb0e42a05e7eeb224f3a2fefbbf73069fc54b71dd411c2378b87d154_MY22_Rav4_US_XSE_Hybrid_AWD_02PS_002_DS_Front_3_4_6K.png
2T3E6RFV0PW037955,At dealer,36385,False,Available,2023,hybrid,XSE,Cavalry Blue/Midnight Black Metallic roof,Toyota of Vero Beach,https://www.verobeachtoyota.com,FL,36385.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/a13a4bbbb9b85693377f8729ba389bd698600e069e2498eddd7cb5242aae4f70_MY22_Rav4_US_XSE_Hybrid_AWD_02VV_002_DS_Front_3_4_6K.png
2T3E6RFV0PW037986,At dealer,36385,False,DealerHold,2023,hybrid,XSE,Magnetic Gray Metallic/Midnight Black Metallic roof,Lake Country Toyota,https://www.lakecountrytoyota.com,MN,36385.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/99d81f711453463c935fd1d7241f2ca3ac57991f443a6496aa827579440e1283_MY22_Rav4_US_XSE_Hybrid_AWD_02QZ_002_DS_Front_3_4_6K.png
2T3E6RFV0PW038023,At dealer,36385,False,DealerHold,2023,hybrid,XSE,Cavalry Blue/Midnight Black Metallic roof,Courtesy Toyota,https://www.courtesytoyota.com,FL,36385.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2022/rav4/exteriorcolor/carjellyimage/a13a4bbbb9b85693377f8729ba389bd698600e069e2498eddd7cb5242aae4f70_MY22_Rav4_US_XSE_Hybrid_AWD_02VV_002_DS_Front_3_4_6K.png
2T3E6RFV0PW038037,At dealer,36385,False,Available,2023,hybrid,XSE,Wind Chill Pearl/Midnight Black Metallic roof,Lakeland Toyota,https://www.lakelandtoyota.com,FL,36385.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4/exteriorcolor/carjellyimage/7aadc299eb0e42a05e7eeb224f3a2fefbbf73069fc54b71dd411c2378b87d154_MY22_Rav4_US_XSE_Hybrid_AWD_02PS_002_DS_Front_3_4_6K.png
2T3E6RFV0PW038071,Factory to port,36385,False,,2023,hybrid,XSE,Wind Chill Pearl/Midnight Black Metallic roof,Scott Will Toyota of Sumter,https://www.scottwilltoyota.com,SC,36385.0,0.0,https://media.rti.toyota.com/config/pub/static/images/TOY/2023/rav4/exteriorcolor/carjellyimage/7aadc299eb0e42a05e7eeb224f3a2fefbbf73069fc54b71dd411c2378b87d154_MY22_Rav4_US_XSE_Hybrid_AWD_02PS_002_DS_Front_3_4_6K.png
